+-----------------------------------+----------+
| Variable_name                     | Value    |
+-----------------------------------+----------+
| Aborted_clients                   | 0        |
| Aborted_connects                  | 0        |
| Binlog_cache_disk_use             | 0        |
| Binlog_cache_use                  | 0        |
| Bytes_received                    | 1048576  |
| Bytes_sent                        | 2097152  |
| Com_admin_commands                | 5        |
| Com_select                        | 100      |
| Com_insert                        | 50       |
| Com_update                        | 25       |
| Com_delete                        | 10       |
| Connections                       | 150      |
| Created_tmp_disk_tables           | 2        |
| Created_tmp_tables                | 10       |
| Handler_read_first                | 20       |
| Handler_read_key                  | 500      |
| Handler_read_next                 | 1000     |
| Handler_read_rnd_next             | 2000     |
| Handler_write                     | 300      |
| Innodb_buffer_pool_pages_data     | 5000     |
| Innodb_buffer_pool_pages_dirty    | 50       |
| Innodb_buffer_pool_pages_free     | 3000     |
| Innodb_buffer_pool_pages_total    | 8192     |
| Innodb_buffer_pool_read_requests  | 100000   |
| Innodb_buffer_pool_reads          | 500      |
| Innodb_data_read                  | 10485760 |
| Innodb_data_reads                 | 1000     |
| Innodb_data_writes                | 500      |
| Innodb_data_written               | 5242880  |
| Innodb_os_log_pending_writes      | 0        |
| Innodb_row_lock_current_waits     | 0        |
| Max_used_connections              | 10       |
| Open_files                        | 50       |
| Open_tables                       | 100      |
| Opened_files                      | 200      |
| Opened_tables                     | 150      |
| Prepared_stmt_count               | 5        |
| Questions                         | 200      |
| Select_full_join                  | 0        |
| Select_scan                       | 10       |
| Slow_queries                      | 1        |
| Sort_merge_passes                 | 0        |
| Sort_range                        | 5        |
| Sort_rows                         | 1000     |
| Sort_scan                         | 10       |
| Table_locks_immediate             | 150      |
| Table_locks_waited                | 2        |
| Threads_cached                    | 5        |
| Threads_connected                 | 3        |
| Threads_created                   | 8        |
| Threads_running                   | 1        |
| Uptime                            | 3600     |
+-----------------------------------+----------+

